etfCode,name,codeType,issuer,benchmarkName,detailScope,readinessScore,grade,assetClassEvidence,regionEvidence,sectorEvidence,strategyEvidence,dividendEvidence,holdingsCount,tagCount,hasLlmContribution,missingFields
473460,KODEX 미국서학개미,krx_numeric,삼성자산운용,iSelect 서학개미 지수(PR),enriched,25,D,medium,low,low,medium,none,0,3,false,구성종목|산업·국가 비중|분배 일정|실제 분배금 이력
473490,KIWOOM 글로벌AI반도체,krx_numeric,키움투자자산운용,Solactive Global AI Semiconductor Index (Price Return),enriched,35,C,medium,low,low,medium,none,0,3,false,구성종목|산업·국가 비중|분배 일정|실제 분배금 이력
473590,ACE 미국주식베스트셀러,krx_numeric,한국투자신탁운용,FnGuide 미국 주식 베스트셀러 지수(시장가격지수),enriched,35,C,medium,low,low,medium,none,0,3,false,구성종목|산업·국가 비중|분배 일정|실제 분배금 이력
473640,HANARO 글로벌금채굴기업,krx_numeric,NH-Amundi자산운용,NYSE Arca Gold Miners Index (Price Return),thin,25,D,low,low,low,low,none,0,3,false,상품 설명·투자 목적|구성종목|산업·국가 비중|분배 일정|실제 분배금 이력
474220,TIGER 미국테크TOP10타겟커버드콜,krx_numeric,미래에셋자산운용,Bloomberg U.S. Tech Top10+10% Premium Covered Call Index,enriched,72,B,medium,low,medium,medium,low,12,4,false,산업·국가 비중|실제 분배금 이력
474390,SOL 국고채30년액티브,krx_numeric,신한자산운용,KAP 국고채30년 지수(TR),enriched,53,C,medium,low,low,medium,low,0,4,false,구성종목|산업·국가 비중|실제 분배금 이력
474590,WON 반도체밸류체인액티브,krx_numeric,우리자산운용,FnGuide 반도체 밸류체인 (Price Return) 지수,enriched,68,B,medium,low,medium,medium,low,10,4,true,산업·국가 비중|실제 분배금 이력
474800,KIWOOM 미국원유에너지기업,krx_numeric,키움투자자산운용,MSCI US IMI Energy 25/50 Index(Price Return),thin,25,D,low,low,low,low,none,0,3,false,상품 설명·투자 목적|구성종목|산업·국가 비중|분배 일정|실제 분배금 이력
474920,에셋플러스 차이나일등기업포커스10액티브,krx_numeric,에셋플러스자산운용,"MSCI China Index(USD, Price Return)",thin,25,D,low,low,low,low,none,0,3,false,상품 설명·투자 목적|구성종목|산업·국가 비중|분배 일정|실제 분배금 이력
475050,ACE KPOP포커스,krx_numeric,한국투자신탁운용,iSelect K-POP 포커스지수(시장가격),enriched,50,C,medium,low,medium,medium,none,10,4,true,산업·국가 비중|분배 일정|실제 분배금 이력
475070,KoAct 글로벌친환경전력인프라액티브,krx_numeric,삼성액티브자산운용,Solactive 글로벌친환경전력인프라 PR지수,enriched,61,B,medium,low,low,medium,low,0,3,false,구성종목|산업·국가 비중|실제 분배금 이력
475080,KODEX 테슬라커버드콜채권혼합액티브,krx_numeric,삼성자산운용,KEDI 테슬라 인컴 프리미엄 밸런스드 지수(TR),enriched,37,C,low,low,low,low,low,0,4,false,상품 설명·투자 목적|구성종목|산업·국가 비중|실제 분배금 이력
475260,ACE 2월만기자동연장회사채AA-이상액티브,krx_numeric,한국투자신탁운용,KAP 2월 만기자동연장회사채(AA-이상) 총수익지수,enriched,35,C,medium,low,low,medium,none,0,4,false,구성종목|산업·국가 비중|분배 일정|실제 분배금 이력
475270,ACE 5월만기자동연장회사채AA-이상액티브,krx_numeric,한국투자신탁운용,KIS 5월 만기자동연장회사채(AA-이상) 총수익지수,enriched,35,C,medium,low,low,medium,none,0,4,false,구성종목|산업·국가 비중|분배 일정|실제 분배금 이력
475280,ACE 8월만기자동연장회사채AA-이상액티브,krx_numeric,한국투자신탁운용,KAP 8월 만기자동연장회사채(AA-이상) 총수익지수,enriched,35,C,medium,low,low,medium,none,0,4,false,구성종목|산업·국가 비중|분배 일정|실제 분배금 이력
475300,SOL 반도체전공정,krx_numeric,신한자산운용,FnGuide 반도체 전공정 지수(PR),enriched,68,B,medium,low,medium,medium,low,10,4,true,산업·국가 비중|실제 분배금 이력
475310,SOL 반도체후공정,krx_numeric,신한자산운용,FnGuide 반도체 후공정 지수(PR),enriched,68,B,medium,low,medium,medium,low,10,4,true,산업·국가 비중|실제 분배금 이력
475350,RISE 버크셔포트폴리오TOP10,krx_numeric,KB자산운용,Solactive Berkshire Portfolio Top10 Index(PR),enriched,61,B,medium,low,low,medium,high,0,3,false,구성종목|산업·국가 비중
475380,RISE 글로벌리얼티인컴,krx_numeric,KB자산운용,Solactive Global Realty Income Index(Price Return),enriched,61,B,medium,low,low,medium,high,0,3,false,구성종목|산업·국가 비중
